from_stop_id,to_stop_id,transfer_type,min_transfer_time
11874,12132,,
11882,12076,,
2067,7682,,
11981,11995,,
11994,11982,,
11730,11698,,
12005,11543,,
11707,11722,,
7524,7683,,
13593,13592,,
11561,11560,,
13408,12015,,
11858,11861,,
11803,11786,,
12012,12021,,
502,3213,,
12177,2662,,
11484,11490,,
11585,11592,,
11704,11724,,
11475,11499,,
11530,11534,,
67,516,,
11946,11970,,
11472,3369,,
11695,11733,,
12078,11880,,
11521,11543,,
11959,11957,,
12461,11984,,
11787,11910,,
12018,13408,,
11717,11897,,
11870,11781,,
11909,11788,,
11767,11760,,
11816,11839,,
4017,495,,
11756,11821,,
11950,11966,,
13653,11735,,
11534,11530,,
516,67,,
11473,11471,,
11984,11993,,
814,3366,,
5196,1261,,
13408,12018,,
11754,11770,,
11543,11521,,
11988,11989,,
11598,11579,,
11488,11486,,
12036,125,,
12025,12008,,
12410,12409,,
11497,11477,,
11726,11702,,
11711,11718,,
285,516,,
11762,11765,,
502,3036,,
11735,13653,,
12002,11980,,
11600,11621,,
11992,11985,,
514,12571,,
521,520,,
2067,7642,,
10568,64,,
11807,11845,,
11862,11857,,
13603,13598,,
2072,3034,,
11734,11694,,
2069,125,,
11980,7677,,
11480,11494,,
11526,11538,,
516,285,,
11866,11853,,
11618,11600,,
10921,11693,,
11756,11646,,
11796,11634,,
11621,11618,,
504,1341,,
11493,11501,,
11699,11729,,
11853,11866,,
11725,11703,,
11648,11636,,
12131,11875,,
11602,11575,,
11511,2174,,
11543,12005,,
12020,12013,,
11954,11962,,
66,7508,,
7529,12006,,
11821,11756,,
11555,11567,,
11593,11584,,
11980,12002,,
11788,11909,,
11973,11943,,
11844,11779,,
519,7508,,
1342,7524,,
11618,11621,,
11522,11542,,
12006,7529,,
11476,11498,,
11531,11533,,
13653,11693,,
11985,11992,,
11833,12135,,
11994,5502,,
11564,11765,,
11982,5502,,
13596,13602,,
11977,12005,,
11897,11717,,
11535,11529,,
11900,11818,,
7524,7641,,
11485,11489,,
13594,13591,,
12002,531,,
11708,11721,,
12002,7647,,
12013,12020,,
11595,11582,,
11498,11476,,
11883,12075,,
11982,11994,,
13664,7524,,
11995,11981,,
11565,11557,,
11712,11717,,
11839,11816,,
515,516,,
11544,11520,,
11489,11485,,
11989,11988,,
514,3211,,
8422,7510,,
12075,11883,,
12036,2069,,
11868,11851,,
11731,11697,,
11910,11787,,
11721,11708,,
11564,11762,,
11619,11585,,
1341,504,,
520,3038,,
11696,11732,,
11712,11897,,
11867,11852,,
11964,11952,,
12074,11884,,
11594,11583,,
11951,11965,,
11636,11648,,
12008,12025,,
11494,11480,,
5233,5191,,
3317,7627,,
11540,11524,,
11700,11728,,
2072,3215,,
11490,11484,,
12003,11979,,
11523,11541,,
11847,11805,,
11993,11984,,
2936,7643,,
11536,11528,,
519,66,,
11527,11537,,
12036,7642,,
13664,7641,,
11543,11977,,
12461,11993,,
11693,10921,,
11556,11566,,
11716,11713,,
11968,11948,,
11850,11869,,
12021,12012,,
11786,11803,,
11863,11856,,
11735,11693,,
12036,7682,,
11746,11586,,
12132,11874,,
11569,11553,,
11854,11865,,
11875,12131,,
11499,11475,,
11856,11863,,
11728,11700,,
7524,13664,,
11957,11787,,
11869,11850,,
11486,11488,,
12537,12538,,
11566,11556,,
11487,5003,,
11872,12134,,
11553,11569,,
516,515,,
11763,11559,,
11722,11707,,
11884,12074,,
12135,11833,,
10568,7642,,
11760,11767,,
67,68,,
11693,13653,,
66,7512,,
11986,11991,,
11814,11841,,
11759,11580,,
11980,7647,,
66,519,,
12023,12010,,
11970,11946,,
11472,5855,,
11897,11712,,
11821,11646,,
11948,11968,,
11592,11619,,
11818,11900,,
11477,11497,,
11957,11959,,
12076,11882,,
11585,11619,,
13591,13594,,
11984,12461,,
122,3661,,
11840,11815,,
11693,11735,,
12003,7566,,
11519,11545,,
11580,11759,,
11702,11726,,
11880,12078,,
11583,11594,,
11980,531,,
3661,122,,
11943,11973,,
11537,11527,,
11482,11492,,
11586,11746,,
11524,11540,,
11732,11696,,
12133,11873,,
11471,11473,,
11541,11523,,
11491,11483,,
11765,11564,,
11978,12004,,
11952,11964,,
11965,11951,,
11713,11716,,
12018,12015,,
11557,11565,,
11735,10921,,
11495,11479,,
11990,11987,,
11545,11519,,
11957,11910,,
11697,11731,,
11855,11864,,
11646,11821,,
12015,13408,,
11851,11868,,
10568,12036,,
11582,11595,,
11717,11712,,
11879,12128,,
11864,11855,,
515,285,,
11805,11847,,
11910,11959,,
11643,11640,,
11528,11536,,
11487,4070,,
11478,11496,,
12004,11978,,
11779,11844,,
10921,11735,,
11575,11602,,
11520,11544,,
11962,11954,,
11694,11734,,
506,7508,,
11559,11763,,
283,3395,,
12077,11881,,
11719,11710,,
13664,7683,,
11815,11840,,
13598,13603,,
11770,11754,,
11861,11858,,
814,1605,,
68,67,,
2936,7681,,
11977,11543,,
11873,12133,,
12409,12410,,
12538,12537,,
12015,12018,,
11729,11699,,
11500,11474,,
11881,12077,,
11857,11862,,
11496,11478,,
11987,11990,,
1601,1260,,
2662,12177,,
11600,11618,,
11710,11719,,
13637,13636,,
11619,11592,,
11474,11500,,
11584,11593,,
11703,11725,,
11841,11814,,
13592,13593,,
7524,1342,,
11560,11561,,
11542,11522,,
11993,12461,,
11533,11531,,
11579,11598,,
13664,1265,,
11592,11585,,
11698,11730,,
11646,11756,,
11910,11957,,
12010,12023,,
521,3038,,
7524,1265,,
11865,11854,,
506,66,,
11640,11643,,
11718,11711,,
13636,13637,,
7529,7683,,
12134,11872,,
11966,11950,,
11501,11493,,
11733,11695,,
64,10568,,
11852,11867,,
11724,11704,,
11845,11807,,
11762,11564,,
2323,1876,,
11621,11600,,
11959,11787,,
11538,11526,,
11991,11986,,
11483,11491,,
11567,11555,,
11959,11910,,
13602,13596,,
11479,11495,,
12002,7677,,
11765,11762,,
11529,11535,,
66,506,,
12128,11879,,
12005,11977,,
11781,11870,,
11979,12003,,
11634,11796,,
11492,11482,,
13653,10921,,
11979,7566,,
285,515,,
10921,13653,,
519,10567,,
520,521,,
