route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11649,91,2482827,38 WESTGATE,,0,1909,116193,1,1
11649,91,2482828,38 WESTGATE,,0,1859,116193,1,1
11649,91,2482829,38 MEDFIELD,,1,1003,116194,1,1
11649,91,2482830,38 MEDFIELD,,1,1882,116194,1,1
11678,93,2488486,92 OWINGS MILLS CENTER,,0,4775,116332,1,1
11678,93,2488487,92 OWINGS MILLS CENTER,,0,4776,116332,1,1
11678,93,2488488,92 SCOTTS HILL,,0,4776,116333,1,1
11678,93,2488489,92 SCOTTS HILL,,0,4775,116333,1,1
11678,93,2488490,92 LUCKMAN PARK,,1,4778,116337,1,1
11678,93,2488491,92 LUCKMAN PARK,,1,4779,116337,1,1
11678,93,2488492,92 LUCKMAN PARK,,1,4780,116337,1,1
11678,93,2488493,92 LUCKMAN PARK,,1,4781,116336,1,1
11678,93,2488494,92 LUCKMAN PARK,,1,4780,116336,1,1
11684,91,2495153,103 GREENMOUNT NORTH,,0,3800,116384,1,1
11684,91,2495154,103 GREENMOUNT NORTH,,0,1403,116384,1,1
11684,91,2495155,103 GREENMOUNT NORTH,,0,1485,116384,1,1
11684,91,2495156,103 DOWNTOWN,,0,1527,116383,1,1
11684,91,2495157,103 DOWNTOWN,,0,1653,116383,1,1
11684,91,2495158,103 DOWNTOWN,,0,1436,116383,1,1
11684,91,2495159,103 DOWNTOWN,,0,1654,116383,1,1
11684,91,2495160,103 DOWNTOWN,,0,3205,116383,1,1
11684,91,2495161,103 DOWNTOWN,,0,1655,116383,1,1
11684,91,2495162,103 DOWNTOWN,,0,3206,116383,1,1
11684,91,2495163,103 DOWNTOWN,,0,1403,116383,1,1
11684,91,2495164,103 CROMWELL BRIDGE PARK & RIDE,,1,1655,116386,1,1
11684,91,2495165,103 CROMWELL BRIDGE PARK & RIDE,,1,1654,116386,1,1
11684,91,2495166,103 CROMWELL BRIDGE PARK & RIDE,,1,1653,116386,1,1
11684,91,2495167,103 CROMWELL BRIDGE PARK & RIDE,,1,1525,116385,1,1
11684,91,2495168,103 CROMWELL BRIDGE PARK & RIDE,,1,1656,116385,1,1
11684,91,2495169,103 CROMWELL BRIDGE PARK & RIDE,,1,1485,116385,1,1
11684,91,2495170,103 CROMWELL BRIDGE PARK & RIDE,,1,1403,116385,1,1
11684,91,2495171,103 CROMWELL BRIDGE PARK & RIDE,,1,3800,116385,1,1
11684,91,2495172,103 CROMWELL BRIDGE PARK & RIDE,,1,1436,116385,1,1
11684,91,2495173,103 CROMWELL BRIDGE PARK & RIDE,,1,1400,116385,1,1
11685,91,2495174,104 HOPKINS HOSPITAL/HARBOR EAST,,0,3701,116387,1,1
11685,91,2495175,104 CROMWELL BRIDGE,,1,3552,116388,1,1
11686,91,2495176,105 DOWNTOWN,,0,2308,116389,1,1
11686,91,2495177,105 DOWNTOWN,,0,2153,116389,1,1
11686,91,2495178,105 DOWNTOWN,,0,2309,116389,1,1
11686,91,2495179,105 DOWNTOWN,,0,2152,116389,1,1
11686,91,2495180,105 CEDONIA,,1,2309,116390,1,1
11686,91,2495181,105 CEDONIA,,1,2307,116390,1,1
11686,91,2495182,105 CEDONIA,,1,2319,116390,1,1
11687,91,2495183,115 DOWNTOWN,,0,1652,116392,1,1
11687,91,2495184,115 DOWNTOWN,,0,1477,116392,1,1
11687,91,2495185,115 DOWNTOWN,,0,1479,116392,1,1
11687,91,2495186,115 DOWNTOWN,,0,1429,116392,1,1
11687,91,2495187,115 NORTH AVE,,0,1528,116391,1,1
11687,91,2495188,115 NORTH AVE,,0,1434,116391,1,1
11687,91,2495189,115 NORTH AVE,,0,1541,116391,1,1
11687,91,2495190,115 NORTH AVE,,0,1540,116391,1,1
11687,91,2495191,115 PERRY HALL,,1,1528,116394,1,1
11687,91,2495192,115 PERRY HALL,,1,1434,116394,1,1
11687,91,2495193,115 PERRY HALL,,1,1541,116394,1,1
11687,91,2495194,115 PERRY HALL,,1,1540,116394,1,1
11687,91,2495195,115 PERRY HALL,,1,1652,116393,1,1
11687,91,2495196,115 PERRY HALL,,1,1477,116393,1,1
11687,91,2495197,115 PERRY HALL,,1,1429,116393,1,1
11687,91,2495198,115 PERRY HALL,,1,1479,116393,1,1
11688,91,2495199,120 DOWNTOWN,,0,2500,116396,1,1
11688,91,2495200,120 HOPKINS HOSPITAL,,0,2507,116395,1,1
11688,91,2495201,120 HOPKINS HOSPITAL,,0,2506,116395,1,1
11688,91,2495202,120 HOPKINS HOSPITAL,,0,2712,116395,1,1
11688,91,2495203,120 DOWNTOWN,,0,2500,116396,1,1
11688,91,2495204,120 DOWNTOWN,,0,2501,116396,1,1
11688,91,2495205,120 DOWNTOWN,,0,2502,116396,1,1
11688,91,2495206,120 DOWNTOWN,,0,2503,116396,1,1
11688,91,2495207,120 DOWNTOWN,,0,2502,116396,1,1
11688,91,2495208,120 DOWNTOWN,,0,2505,116396,1,1
11688,91,2495209,120 DOWNTOWN,,0,2002,116396,1,1
11688,91,2495210,120 DOWNTOWN,,0,2501,116396,1,1
11688,91,2495211,120 DOWNTOWN,,0,2504,116396,1,1
11688,91,2495212,120 DOWNTOWN,,0,2510,116396,1,1
11688,91,2495213,120 DOWNTOWN,,0,2505,116396,1,1
11688,91,2495214,120 DOWNTOWN,,0,2509,116396,1,1
11688,91,2495215,120 WHITE MARSH,,1,2509,116398,1,1
11688,91,2495216,120 WHITE MARSH,,1,2500,116398,1,1
11688,91,2495217,120 WHITE MARSH,,1,2501,116398,1,1
11688,91,2495218,120 WHITE MARSH,,1,2502,116398,1,1
11688,91,2495219,120 WHITE MARSH,,1,2505,116398,1,1
11688,91,2495220,120 WHITE MARSH,,1,2506,116397,1,1
11688,91,2495221,120 WHITE MARSH,,1,2515,116397,1,1
11688,91,2495222,120 WHITE MARSH,,1,2712,116397,1,1
11688,91,2495223,120 WHITE MARSH,,1,2516,116397,1,1
